# [Fe/H], [Mg/Fe], feh_sig, mgfe_sig
-2.949702562512519499e+00,7.765694778554249611e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.679702562512519481e+00,1.665694778554249744e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.859702562512519641e+00,4.965694778554249345e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.599702562512519410e+00,7.065694778554248989e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.399702562512519677e+00,4.365694778554249367e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.539702562512519357e+00,7.165694778554249078e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.089702562512519624e+00,4.665694778554249078e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.739702562512519535e+00,4.065694778554249100e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.459702562512519730e+00,5.165694778554249522e-01,1.000000000000000056e-01,1.000000000000000056e-01
-1.949702562512519499e+00,1.265694778554249667e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.579702562512519393e+00,5.365694778554249700e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.619702562512519428e+00,4.765694778554249167e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.739702562512519535e+00,5.065694778554249433e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.179702562512519481e+00,3.965694778554249567e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.489702562512519535e+00,4.265694778554249278e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.979702562512519748e+00,7.165694778554249078e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.969702562512519517e+00,4.065694778554249100e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.029702562512519570e+00,3.065694778554249322e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.129702562512519659e+00,5.865694778554249034e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.489702562512519535e+00,4.165694778554249189e-01,1.000000000000000056e-01,1.000000000000000056e-01
